#{"t_start": 1767134691.8953786, "env_id": "CartPole-v1"}
r,l,t
28.0,28,1.08599
15.0,15,1.092429
59.0,59,1.115948
11.0,11,1.119987
17.0,17,1.126858
15.0,15,1.131927
37.0,37,1.14702
15.0,15,1.153441
33.0,33,1.16595
19.0,19,1.173486
32.0,32,1.186455
19.0,19,1.193517
48.0,48,1.212487
11.0,11,1.216513
29.0,29,1.227891
15.0,15,1.233575
39.0,39,1.249879
63.0,63,1.274206
16.0,16,1.281254
11.0,11,1.285766
76.0,76,1.31565
36.0,36,1.329215
17.0,17,1.336356
35.0,35,1.350428
12.0,12,1.354381
15.0,15,1.360516
12.0,12,1.366088
13.0,13,1.370687
32.0,32,1.383908
27.0,27,1.393437
22.0,22,1.40344
36.0,36,1.417958
25.0,25,1.429454
13.0,13,1.450557
14.0,14,1.456903
9.0,9,1.459917
8.0,8,1.464002
43.0,43,1.480184
19.0,19,1.488459
19.0,19,1.495639
14.0,14,1.502058
13.0,13,1.507215
22.0,22,1.515953
65.0,65,1.541241
33.0,33,1.554756
40.0,40,1.570252
27.0,27,1.580762
9.0,9,1.585104
27.0,27,1.595423
16.0,16,1.602143
13.0,13,1.606374
19.0,19,1.61376
43.0,43,1.632198
15.0,15,1.63758
23.0,23,1.646934
21.0,21,1.655397
12.0,12,1.65991
20.0,20,1.668382
12.0,12,1.672898
12.0,12,1.677965
28.0,28,1.688862
35.0,35,1.702933
15.0,15,1.70896
12.0,12,1.713579
12.0,12,1.718419
29.0,29,1.730026
21.0,21,1.738499
60.0,60,1.761929
12.0,12,1.765753
19.0,19,1.773478
26.0,26,1.783911
14.0,14,1.789379
16.0,16,1.795982
23.0,23,1.80542
17.0,17,1.812418
12.0,12,1.816644
32.0,32,1.829758
43.0,43,1.845929
15.0,15,1.852395
47.0,47,1.8699
42.0,42,1.886977
27.0,27,1.897326
11.0,11,1.902787
34.0,34,2.662888
63.0,63,2.68907
22.0,22,2.698084
17.0,17,2.705193
45.0,45,2.725764
11.0,11,2.730278
41.0,41,2.747893
19.0,19,2.756666
16.0,16,2.763053
35.0,35,2.777041
32.0,32,2.790113
19.0,19,2.798268
13.0,13,2.804981
31.0,31,2.821656
10.0,10,2.825227
12.0,12,2.830237
17.0,17,2.838159
46.0,46,2.858536
33.0,33,2.872432
15.0,15,2.878742
12.0,12,2.882756
35.0,35,2.897527
37.0,37,2.91241
30.0,30,2.92514
20.0,20,2.933155
28.0,28,2.94485
39.0,39,2.959709
11.0,11,2.964747
29.0,29,2.976096
15.0,15,2.982617
18.0,18,2.989409
37.0,37,3.004857
35.0,35,3.019845
22.0,22,3.027876
12.0,12,3.032909
